file,package,verdict,subsystem
keisei/__init__.py,1,NEEDS_ATTENTION,config
keisei/config_schema.py,1,NEEDS_ATTENTION,config
keisei/constants.py,1,NEEDS_ATTENTION,config
keisei/core/__init__.py,2,NEEDS_ATTENTION,core
keisei/core/actor_critic_protocol.py,2,CRITICAL,core
keisei/core/base_actor_critic.py,2,CRITICAL,core
keisei/core/neural_network.py,2,NEEDS_ATTENTION,core
keisei/core/experience_buffer.py,3,NEEDS_ATTENTION,core
keisei/core/ppo_agent.py,3,NEEDS_ATTENTION,core
keisei/core/scheduler_factory.py,3,SOUND,core
keisei/shogi/__init__.py,4,SOUND,shogi
keisei/shogi/shogi_engine.py,4,SOUND,shogi
keisei/shogi/features.py,4,CRITICAL,shogi
keisei/shogi/shogi_core_definitions.py,4,NEEDS_ATTENTION,shogi
keisei/shogi/shogi_game.py,5,NEEDS_ATTENTION,shogi
keisei/shogi/shogi_game_io.py,5,NEEDS_ATTENTION,shogi
keisei/shogi/shogi_rules_logic.py,6,NEEDS_ATTENTION,shogi
keisei/shogi/shogi_move_execution.py,6,SOUND,shogi
keisei/training/display.py,7,NEEDS_ATTENTION,training
keisei/training/display_components.py,7,NEEDS_ATTENTION,training
keisei/training/display_manager.py,7,SOUND,training
keisei/training/adaptive_display.py,7,SOUND,training
keisei/training/callback_manager.py,8,NEEDS_ATTENTION,training
keisei/training/callbacks.py,8,CRITICAL,training
keisei/training/env_manager.py,8,NEEDS_ATTENTION,training
keisei/training/step_manager.py,9,NEEDS_ATTENTION,training
keisei/training/metrics_manager.py,9,NEEDS_ATTENTION,training
keisei/training/utils.py,9,NEEDS_ATTENTION,training
keisei/training/model_manager.py,10,NEEDS_ATTENTION,training
keisei/training/session_manager.py,11,NEEDS_ATTENTION,training
keisei/training/setup_manager.py,11,NEEDS_ATTENTION,training
keisei/training/__init__.py,12,SOUND,training
keisei/training/trainer.py,12,NEEDS_ATTENTION,training
keisei/training/training_loop_manager.py,12,NEEDS_ATTENTION,training
keisei/training/train.py,12,NEEDS_ATTENTION,training
keisei/training/models/__init__.py,13,SOUND,training
keisei/training/models/resnet_tower.py,13,SOUND,training
keisei/training/elo_rating.py,13,SOUND,training
keisei/training/previous_model_selector.py,13,SOUND,training
keisei/training/train_wandb_sweep.py,13,SOUND,training
keisei/training/parallel/__init__.py,14,NEEDS_ATTENTION,training
keisei/training/parallel/communication.py,14,NEEDS_ATTENTION,training
keisei/training/parallel/model_sync.py,14,NEEDS_ATTENTION,training
keisei/training/parallel/parallel_manager.py,14,NEEDS_ATTENTION,training
keisei/training/parallel/self_play_worker.py,14,NEEDS_ATTENTION,training
keisei/training/parallel/utils.py,14,NEEDS_ATTENTION,training
keisei/evaluation/__init__.py,15,SOUND,evaluation
keisei/evaluation/core/__init__.py,15,NEEDS_ATTENTION,evaluation
keisei/evaluation/core/evaluation_config.py,15,SOUND,evaluation
keisei/evaluation/core/evaluation_context.py,15,SOUND,evaluation
keisei/evaluation/core/evaluation_result.py,15,CRITICAL,evaluation
keisei/evaluation/core/base_evaluator.py,16,NEEDS_ATTENTION,evaluation
keisei/evaluation/core/background_tournament.py,16,NEEDS_ATTENTION,evaluation
keisei/evaluation/core/parallel_executor.py,16,NEEDS_ATTENTION,evaluation
keisei/evaluation/core/model_manager.py,17,NEEDS_ATTENTION,evaluation
keisei/evaluation/core_manager.py,17,CRITICAL,evaluation
keisei/evaluation/enhanced_manager.py,17,SOUND,evaluation
keisei/evaluation/performance_manager.py,17,CRITICAL,evaluation
keisei/evaluation/utils/__init__.py,18,SOUND,evaluation
keisei/evaluation/opponents/__init__.py,18,SOUND,evaluation
keisei/evaluation/opponents/elo_registry.py,18,NEEDS_ATTENTION,evaluation
keisei/evaluation/opponents/enhanced_manager.py,18,NEEDS_ATTENTION,evaluation
keisei/evaluation/opponents/opponent_pool.py,18,SOUND,evaluation
keisei/evaluation/analytics/__init__.py,19,SOUND,evaluation
keisei/evaluation/analytics/advanced_analytics.py,19,NEEDS_ATTENTION,evaluation
keisei/evaluation/analytics/elo_tracker.py,19,SOUND,evaluation
keisei/evaluation/analytics/performance_analyzer.py,19,SOUND,evaluation
keisei/evaluation/analytics/report_generator.py,19,SOUND,evaluation
keisei/evaluation/strategies/__init__.py,20,SOUND,evaluation
keisei/evaluation/strategies/single_opponent.py,20,NEEDS_ATTENTION,evaluation
keisei/evaluation/strategies/custom.py,20,CRITICAL,evaluation
keisei/evaluation/strategies/tournament.py,21,NEEDS_ATTENTION,evaluation
keisei/evaluation/strategies/ladder.py,21,NEEDS_ATTENTION,evaluation
keisei/evaluation/strategies/benchmark.py,22,NEEDS_ATTENTION,evaluation
keisei/utils/__init__.py,23,SOUND,utils
keisei/utils/agent_loading.py,23,NEEDS_ATTENTION,utils
keisei/utils/checkpoint.py,23,NEEDS_ATTENTION,utils
keisei/utils/unified_logger.py,23,CRITICAL,utils
keisei/utils/utils.py,23,CRITICAL,utils
keisei/utils/compilation_validator.py,24,NEEDS_ATTENTION,utils
keisei/utils/move_formatting.py,24,SOUND,utils
keisei/utils/opponents.py,24,NEEDS_ATTENTION,utils
keisei/utils/performance_benchmarker.py,24,NEEDS_ATTENTION,utils
keisei/utils/profiling.py,24,NEEDS_ATTENTION,utils
keisei/webui/__init__.py,25,SOUND,webui
keisei/webui/web_server.py,25,CRITICAL,webui
keisei/webui/webui_manager.py,25,NEEDS_ATTENTION,webui
